 INFO[2008-01-21 13:03:17,182] org.hibernate.cfg.Environment - Hibernate 3.2.0
 DEBUG[2008-01-21 13:03:40,473] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO_HIS) -> org.hibernate.mapping.PrimaryKey(UFFICIO_ESTERO_PROTOCOLLO_HIS[org.hibernate.mapping.Column(UFFICIO_ESTERO_ID), org.hibernate.mapping.Column(PROTOCOLLO_HIS_ID)]) as UFFICIO_ESTERO_PROTOCOLLO_H_PK
 DEBUG[2008-01-21 13:03:40,473] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO_HIS)
 DEBUG[2008-01-21 13:03:41,825] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO
 DEBUG[2008-01-21 13:03:41,826] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO.null)
 DEBUG[2008-01-21 13:03:41,849] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO)
 DEBUG[2008-01-21 13:03:41,871] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO) -> org.hibernate.mapping.PrimaryKey(UFFICIO_PROTOCOLLO[org.hibernate.mapping.Column(UFFICIO_ID), org.hibernate.mapping.Column(PROTOCOLLO_ID)]) as UFFICIO_PROTOCOLLO_PK
 DEBUG[2008-01-21 13:03:41,872] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO)
 DEBUG[2008-01-21 13:03:43,219] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO_HIS
 DEBUG[2008-01-21 13:03:43,219] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO_HIS.null)
 DEBUG[2008-01-21 13:03:43,244] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO_HIS)
 DEBUG[2008-01-21 13:03:43,257] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO_HIS) -> org.hibernate.mapping.PrimaryKey(UFFICIO_PROTOCOLLO_HIS[org.hibernate.mapping.Column(UFFICIO_ID), org.hibernate.mapping.Column(PROTOCOLLO_HIS_ID)]) as UFFICIO_PROTOCOLLO_HIS_PK
 DEBUG[2008-01-21 13:03:43,257] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_PROTOCOLLO_HIS)
 DEBUG[2008-01-21 13:03:44,503] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.UTENTE
