2016-07-10 14:00:51,779 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | REQUEST_VERSION --> HEADER
2016-07-10 14:00:51,780 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:00:51,780 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:00:51,780 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,782 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_VALUE
2016-07-10 14:00:51,782 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,782 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:00:51,782 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:00:51,782 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_VALUE
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_NAME
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_NAME --> HEADER_VALUE
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,783 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_VALUE
2016-07-10 14:00:51,784 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,784 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:00:51,784 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:00:51,784 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,784 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:00:51,784 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:00:51,785 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:00:51,787 | DEBUG | tp1988068983-240 | HttpParser                       | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> END
2016-07-10 14:00:51,787 | DEBUG | tp1988068983-240 | HttpChannel                      | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelOverHttp@4f7f8a49{r=1,c=false,a=IDLE,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1} messageComplete
2016-07-10 14:00:51,790 | DEBUG | tp1988068983-240 | HttpInput                        | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpInputOverHTTP@77fe14f6 EOF
2016-07-10 14:00:51,790 | DEBUG | tp1988068983-240 | HttpChannel                      | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelOverHttp@4f7f8a49{r=1,c=false,a=IDLE,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1} handle enter
2016-07-10 14:00:51,790 | DEBUG | Buy+more+coffee1 | HttpChannelState                 | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelState@6e4be4ad{s=IDLE i=true a=null} handling IDLE
2016-07-10 14:00:51,792 | DEBUG | Buy+more+coffee1 | HttpChannel                      | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelOverHttp@4f7f8a49{r=1,c=false,a=DISPATCHED,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1} action REQUEST_DISPATCH
2016-07-10 14:00:51,794 | DEBUG | Buy+more+coffee1 | Server                           | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | REQUEST GET /tasklist on HttpChannelOverHttp@4f7f8a49{r=1,c=false,a=DISPATCHED,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1}
2016-07-10 14:00:51,794 | DEBUG | Buy+more+coffee1 | ServerModel                      | 127 - org.ops4j.pax.web.pax-web-spi - 4.2.6 | Matching [/tasklist]...
2016-07-10 14:00:51,794 | DEBUG | Buy+more+coffee1 | ServerModel                      | 127 - org.ops4j.pax.web.pax-web-spi - 4.2.6 | Path [/tasklist] matched to {pattern=/tasklist/.*,model=ServletModel{id=org.ops4j.pax.web.service.spi.model.ServletModel-2,name=org.ops4j.pax.web.service.spi.model.ServletModel-2,urlPatterns=[/tasklist/*],alias=/tasklist,servlet=org.apache.aries.jpa.example.tasklist.blueprint.impl.TasklistServlet@5a0dcfb0,initParams={},context=ContextModel{id=org.ops4j.pax.web.service.spi.model.ContextModel-1,name=,httpContext=DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [135], contextID=default],contextParams={},virtualHosts={},connectors={}}}}
2016-07-10 14:00:51,795 | DEBUG | Buy+more+coffee1 | ContextHandler                   | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | scope null||/tasklist @ HttpServiceContext{httpContext=DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [135], contextID=default]}
2016-07-10 14:00:51,796 | DEBUG | Buy+more+coffee1 | ContextHandler                   | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | context=||/tasklist @ HttpServiceContext{httpContext=DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [135], contextID=default]}
2016-07-10 14:00:51,801 | DEBUG | Buy+more+coffee1 | session                          | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Got Session ID A7A989EC269DEF7F4CA027B8D241F2F7 from cookie
2016-07-10 14:00:51,802 | DEBUG | Buy+more+coffee1 | session                          | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | sessionManager=org.ops4j.pax.web.service.jetty.internal.LateInvalidatingHashSessionManager@456d1373
2016-07-10 14:00:51,802 | DEBUG | Buy+more+coffee1 | session                          | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | session=null
2016-07-10 14:00:51,802 | DEBUG | Buy+more+coffee1 | ServletHandler                   | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | servlet |/tasklist|null -> org.ops4j.pax.web.service.spi.model.ServletModel-2@378be0fa==org.apache.aries.jpa.example.tasklist.blueprint.impl.TasklistServlet,-1,true
2016-07-10 14:00:51,802 | DEBUG | Buy+more+coffee1 | HttpServiceContext               | 124 - org.ops4j.pax.web.pax-web-jetty - 4.2.6 | Handling request for [/tasklist] using http context [DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [135], contextID=default]]
2016-07-10 14:00:51,818 | DEBUG | Buy+more+coffee1 | HttpServiceServletHandler        | 124 - org.ops4j.pax.web.pax-web-jetty - 4.2.6 | handling request org.ops4j.pax.web.service.jetty.internal.HttpServiceRequestWrapper@4fa940b1, org.ops4j.pax.web.service.jetty.internal.HttpServiceResponseWrapper@778f300c
2016-07-10 14:00:51,818 | DEBUG | Buy+more+coffee1 | ServletHandler                   | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | chain=null
2016-07-10 14:00:51,837 | DEBUG | Buy+more+coffee1 | TxInterceptorImpl                | 70 - org.apache.aries.transaction.blueprint - 2.1.0 | PreCall for bean taskService, method addTask with tx strategy REQUIRED.
