2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_VALUE
2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:37:47,820 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,823 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> END
2016-07-10 14:37:47,823 | DEBUG | tp2121602258-233 | HttpChannel                      | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelOverHttp@e675a4{r=1,c=false,a=IDLE,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1} messageComplete
2016-07-10 14:37:47,824 | DEBUG | tp2121602258-233 | HttpInput                        | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpInputOverHTTP@6e66f45 EOF
2016-07-10 14:37:47,824 | DEBUG | tp2121602258-233 | HttpChannel                      | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelOverHttp@e675a4{r=1,c=false,a=IDLE,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1} handle enter
2016-07-10 14:37:47,825 | DEBUG | Buy+more+coffee1 | HttpChannelState                 | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelState@6b3b883b{s=IDLE i=true a=null} handling IDLE
2016-07-10 14:37:47,826 | DEBUG | Buy+more+coffee1 | HttpChannel                      | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpChannelOverHttp@e675a4{r=1,c=false,a=DISPATCHED,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1} action REQUEST_DISPATCH
2016-07-10 14:37:47,827 | DEBUG | Buy+more+coffee1 | Server                           | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | REQUEST GET /tasklist on HttpChannelOverHttp@e675a4{r=1,c=false,a=DISPATCHED,uri=/tasklist?add&taskId=358&title=Buy+more+coffee1}
2016-07-10 14:37:47,828 | DEBUG | Buy+more+coffee1 | ServerModel                      | 130 - org.ops4j.pax.web.pax-web-spi - 4.2.6 | Matching [/tasklist]...
2016-07-10 14:37:47,828 | DEBUG | Buy+more+coffee1 | ServerModel                      | 130 - org.ops4j.pax.web.pax-web-spi - 4.2.6 | Path [/tasklist] matched to {pattern=/tasklist/.*,model=ServletModel{id=org.ops4j.pax.web.service.spi.model.ServletModel-2,name=org.ops4j.pax.web.service.spi.model.ServletModel-2,urlPatterns=[/tasklist/*],alias=/tasklist,servlet=org.apache.aries.jpa.example.tasklist.blueprint.impl.TasklistServlet@45df45f6,initParams={},context=ContextModel{id=org.ops4j.pax.web.service.spi.model.ContextModel-1,name=,httpContext=DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [133], contextID=default],contextParams={},virtualHosts={},connectors={}}}}
2016-07-10 14:37:47,828 | DEBUG | Buy+more+coffee1 | ContextHandler                   | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | scope null||/tasklist @ HttpServiceContext{httpContext=DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [133], contextID=default]}
2016-07-10 14:37:47,829 | DEBUG | Buy+more+coffee1 | ContextHandler                   | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | context=||/tasklist @ HttpServiceContext{httpContext=DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [133], contextID=default]}
2016-07-10 14:37:47,834 | DEBUG | Buy+more+coffee1 | session                          | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Got Session ID A7A989EC269DEF7F4CA027B8D241F2F7 from cookie
2016-07-10 14:37:47,834 | DEBUG | Buy+more+coffee1 | session                          | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | sessionManager=org.ops4j.pax.web.service.jetty.internal.LateInvalidatingHashSessionManager@42dd6e5c
2016-07-10 14:37:47,834 | DEBUG | Buy+more+coffee1 | session                          | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | session=null
2016-07-10 14:37:47,835 | DEBUG | Buy+more+coffee1 | ServletHandler                   | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | servlet |/tasklist|null -> org.ops4j.pax.web.service.spi.model.ServletModel-2@378be0fa==org.apache.aries.jpa.example.tasklist.blueprint.impl.TasklistServlet,-1,true
2016-07-10 14:37:47,835 | DEBUG | Buy+more+coffee1 | HttpServiceContext               | 127 - org.ops4j.pax.web.pax-web-jetty - 4.2.6 | Handling request for [/tasklist] using http context [DefaultHttpContext [bundle=org.apache.aries.jpa.example.tasklist.blueprint [133], contextID=default]]
2016-07-10 14:37:47,852 | DEBUG | Buy+more+coffee1 | HttpServiceServletHandler        | 127 - org.ops4j.pax.web.pax-web-jetty - 4.2.6 | handling request org.ops4j.pax.web.service.jetty.internal.HttpServiceRequestWrapper@3a7fad85, org.ops4j.pax.web.service.jetty.internal.HttpServiceResponseWrapper@3a071f7c
2016-07-10 14:37:47,852 | DEBUG | Buy+more+coffee1 | ServletHandler                   | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | chain=null
2016-07-10 14:37:47,880 | DEBUG | Buy+more+coffee1 | TxInterceptorImpl                | 71 - org.apache.aries.transaction.blueprint - 2.1.0 | PreCall for bean taskService, method addTask with tx strategy REQUIRED.
2016-07-10 14:37:47,887 | DEBUG | Buy+more+coffee1 | JpaInterceptor                   | 66 - org.apache.aries.jpa.blueprint - 2.3.0 | PreCall for bean taskService, method addTask
2016-07-10 14:37:47,887 | DEBUG | Buy+more+coffee1 | EMSupplierImpl                   | 68 - org.apache.aries.jpa.support - 2.3.0 | Creating EntityManager for persistence unit tasklist, coordination txInterceptor.org.apache.aries.jpa.example.tasklist.model.TaskService.addTask
2016-07-10 14:37:47,887 | TRACE | Buy+more+coffee1 | onFactoryImpl$SessionBuilderImpl | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Opening Hibernate Session.  tenant=null, owner=org.hibernate.jpa.internal.EntityManagerImpl@518ef49a
2016-07-10 14:37:47,894 | DEBUG | Buy+more+coffee1 | JtaTransactionCoordinatorImpl    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Hibernate RegisteredSynchronization successfully registered with JTA platform
2016-07-10 14:37:47,894 | TRACE | Buy+more+coffee1 | SessionImpl                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Opened session at timestamp: 14681506678
2016-07-10 14:37:47,895 | TRACE | Buy+more+coffee1 | SessionImpl                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Setting flush mode to: AUTO
2016-07-10 14:37:47,895 | TRACE | Buy+more+coffee1 | SessionImpl                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Setting cache mode to: NORMAL
2016-07-10 14:37:47,904 | TRACE | Buy+more+coffee1 | IdentifierValue                  | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | ID unsaved-value strategy UNDEFINED
2016-07-10 14:37:47,905 | TRACE | Buy+more+coffee1 | AbstractSaveEventListener        | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Transient instance of: org.apache.aries.jpa.example.tasklist.model.Task
2016-07-10 14:37:47,905 | TRACE | Buy+more+coffee1 | DefaultPersistEventListener      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Saving transient instance
2016-07-10 14:37:47,921 | DEBUG | Buy+more+coffee1 | AbstractSaveEventListener        | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Generated identifier: 358, using strategy: org.hibernate.id.Assigned
2016-07-10 14:37:47,931 | TRACE | Buy+more+coffee1 | AbstractSaveEventListener        | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Saving [org.apache.aries.jpa.example.tasklist.model.Task#358]
2016-07-10 14:37:47,965 | TRACE | Buy+more+coffee1 | ActionQueue                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Adding an EntityInsertAction for [org.apache.aries.jpa.example.tasklist.model.Task] object
2016-07-10 14:37:47,966 | TRACE | Buy+more+coffee1 | ActionQueue                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Adding insert with no non-nullable, transient entities: [EntityInsertAction[org.apache.aries.jpa.example.tasklist.model.Task#358]]
2016-07-10 14:37:47,967 | TRACE | Buy+more+coffee1 | ActionQueue                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Adding resolved non-early insert action.
2016-07-10 14:37:47,984 | DEBUG | Buy+more+coffee1 | JpaInterceptor                   | 66 - org.apache.aries.jpa.blueprint - 2.3.0 | PostCallWithReturn for bean taskService, method addTask
2016-07-10 14:37:47,984 | DEBUG | Buy+more+coffee1 | TxInterceptorImpl                | 71 - org.apache.aries.transaction.blueprint - 2.1.0 | PostCallWithReturn for bean taskService, method public abstract void org.apache.aries.jpa.example.tasklist.model.TaskService.addTask(org.apache.aries.jpa.example.tasklist.model.Task).
2016-07-10 14:37:47,985 | DEBUG | Buy+more+coffee1 | EMSupplierImpl                   | 68 - org.apache.aries.jpa.support - 2.3.0 | Closing EntityManager for persistence unit tasklist as coordination txInterceptor.org.apache.aries.jpa.example.tasklist.model.TaskService.addTask ended.
2016-07-10 14:37:47,986 | TRACE | Buy+more+coffee1 | RegisteredSynchronization        | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Registered JTA Synchronization : beforeCompletion()
2016-07-10 14:37:47,986 | TRACE | Buy+more+coffee1 | llbackCoordinatorNonTrackingImpl | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Synchronization coordinator: beforeCompletion()
2016-07-10 14:37:47,986 | TRACE | Buy+more+coffee1 | SessionImpl                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | SessionImpl#beforeTransactionCompletion()
2016-07-10 14:37:47,986 | TRACE | Buy+more+coffee1 | SessionImpl                      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Automatically flushing session
2016-07-10 14:37:47,987 | TRACE | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Flushing session
2016-07-10 14:37:47,987 | DEBUG | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Processing flush-time cascades
2016-07-10 14:37:47,988 | TRACE | Buy+more+coffee1 | Cascade                          | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Processing cascade ACTION_PERSIST_ON_FLUSH for: org.apache.aries.jpa.example.tasklist.model.Task
2016-07-10 14:37:47,989 | TRACE | Buy+more+coffee1 | Cascade                          | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Done processing cascade ACTION_PERSIST_ON_FLUSH for: org.apache.aries.jpa.example.tasklist.model.Task
2016-07-10 14:37:47,989 | DEBUG | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Dirty checking collections
2016-07-10 14:37:47,989 | TRACE | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Flushing entities and processing referenced collections
2016-07-10 14:37:47,990 | TRACE | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Processing unreferenced collections
2016-07-10 14:37:47,991 | TRACE | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Scheduling collection removes/(re)creates/updates
2016-07-10 14:37:47,991 | DEBUG | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Flushed: 1 insertions, 0 updates, 0 deletions to 1 objects
2016-07-10 14:37:47,991 | DEBUG | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Flushed: 0 (re)creations, 0 updates, 0 removals to 0 collections
2016-07-10 14:37:48,003 | DEBUG | Buy+more+coffee1 | EntityPrinter                    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Listing entities:
2016-07-10 14:37:48,003 | DEBUG | Buy+more+coffee1 | EntityPrinter                    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | org.apache.aries.jpa.example.tasklist.model.Task{dueDate=null, description=null, finished=false, id=358, title=Buy more coffee1}
2016-07-10 14:37:48,004 | TRACE | Buy+more+coffee1 | AbstractFlushingEventListener    | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Executing flush
2016-07-10 14:37:48,004 | TRACE | Buy+more+coffee1 | AbstractEntityPersister          | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Inserting entity: [org.apache.aries.jpa.example.tasklist.model.Task#358]
2016-07-10 14:37:48,008 | TRACE | Buy+more+coffee1 | AbstractServiceRegistryImpl      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Initializing service [role=org.hibernate.engine.jdbc.batch.spi.BatchBuilder]
2016-07-10 14:37:48,011 | TRACE | Buy+more+coffee1 | AbstractServiceRegistryImpl      | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Initializing service [role=org.hibernate.jmx.spi.JmxService]
2016-07-10 14:37:48,012 | TRACE | Buy+more+coffee1 | BatchBuilderImpl                 | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Building batch [size=1]
2016-07-10 14:37:48,016 | DEBUG | Buy+more+coffee1 | SQL                              | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | insert into Task (description, dueDate, finished, title, id) values (?, ?, ?, ?, ?)
2016-07-10 14:37:48,025 | TRACE | Buy+more+coffee1 | ResourceRegistryStandardImpl     | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Registering statement [prep5: insert into Task (description, dueDate, finished, title, id) values (?, ?, ?, ?, ?)]
2016-07-10 14:37:48,025 | TRACE | Buy+more+coffee1 | AbstractEntityPersister          | 121 - org.jboss.logging.jboss-logging - 3.3.0.Final | Dehydrating entity: [org.apache.aries.jpa.example.tasklist.model.Task#358]
